A,B,C,D,E,R1,R2,B1,B2,G1,G2,LAT,CLK,OE,Label
0,0,0,1,0,1,0,0,0,1,0,0,0,0,-1.0000000e-03
0,0,0,1,0,1,0,0,0,1,0,0,0,1,-9.2358800e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,1,-9.2336400e-04
1,0,0,1,0,1,0,0,0,1,0,1,0,1,-9.2333600e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,1,-9.2331200e-04
1,0,0,1,0,1,0,0,0,1,0,0,1,1,-9.2301200e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,1,-9.2298000e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,1,-9.2293200e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,1,-9.2290800e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,1,-9.2286000e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,1,-9.2282800e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,1,-9.2278000e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2275600e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2270400e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2268000e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2267600e-04
1,0,0,1,0,1,0,0,0,1,0,0,1,0,-9.2266000e-04
1,0,0,1,0,1,0,0,0,0,0,0,0,0,-9.2262800e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2262400e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2260400e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2258000e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2257600e-04
1,0,0,1,0,1,0,0,0,1,0,0,1,0,-9.2255600e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2253200e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2252400e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2248000e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2245600e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2240400e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2238000e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2233200e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2230800e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2225200e-04
1,0,0,1,0,0,0,0,0,1,0,0,0,0,-9.2222800e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2222400e-04
1,0,0,1,0,1,0,0,0,1,0,0,1,0,-9.2220400e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2218000e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2217200e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2215600e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2213200e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2212800e-04
1,0,0,1,0,1,0,0,0,1,0,0,1,0,-9.2210800e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2208400e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2207600e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2203200e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2200800e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2195600e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2193200e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2188400e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2186000e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2180800e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2178000e-04
1,0,0,1,0,1,0,0,0,1,0,0,1,0,-9.2175600e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2173200e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2172400e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2170800e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2168400e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2167600e-04
1,0,0,1,0,1,0,0,0,1,0,0,1,0,-9.2166000e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2163200e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2162800e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2158000e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2155600e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2150800e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2148400e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2143200e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2140800e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2135600e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2133200e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2132800e-04
1,0,0,1,0,1,0,0,0,1,0,0,1,0,-9.2130800e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2128400e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2127600e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2126000e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2123200e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2120800e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2118000e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2115600e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2113200e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2110800e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2108000e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2105600e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2102800e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2100400e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2098000e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2095600e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2093200e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2090800e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2088000e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2082800e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2080400e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2080000e-04
1,0,0,1,0,1,0,0,0,1,0,0,1,0,-9.2075600e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2073200e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2072400e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2068000e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2065600e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2060400e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2058000e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2052800e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2050000e-04
1,0,0,1,0,1,0,0,0,1,0,0,1,0,-9.2047600e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2045600e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2044400e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2042800e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2040400e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2038000e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2035200e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2032800e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2030000e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2027600e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2025200e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2022800e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2020400e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2019600e-04
1,0,0,1,0,1,0,0,0,1,0,0,1,0,-9.2015200e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2012800e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2012000e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2010000e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2007600e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.2005200e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.2002800e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.2002400e-04
1,0,0,1,0,1,0,0,0,1,0,0,1,0,-9.2000400e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.1998000e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.1997200e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.1992800e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.1990000e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.1985200e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.1982800e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.1978000e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.1975200e-04
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-9.1970000e-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.1967600e-04
1,0,0,1,0,1,0,0,0,1,0,0,0,0,-9.1967200e-04
